,id,name,stable,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
137,01003,川村禎彦,栗東,3,7,3,91,3,0,27,2,74,1,30,2,74,1,0.029,0.096,0.125,8560.6
138,01028,西園正都,栗東,3,6,8,100,4,0,28,0,85,3,53,2,60,1,0.026,0.077,0.145,10325.0
139,01148,西村真幸,栗東,3,6,6,93,5,0,27,1,76,2,61,1,47,2,0.028,0.083,0.139,8451.9
140,01133,黒岩陽一,美浦,3,6,2,75,1,0,5,1,80,2,34,2,51,1,0.035,0.105,0.128,6193.0
141,01042,安達昭夫,栗東,3,5,10,64,3,0,14,1,65,2,27,1,48,2,0.037,0.098,0.22,8236.7
142,01089,武市康男,美浦,3,5,3,91,3,0,13,0,86,3,38,1,54,2,0.029,0.078,0.108,5330.0
143,01141,尾形和幸,美浦,3,5,1,71,2,0,11,0,67,3,32,1,46,2,0.038,0.1,0.112,4317.7
144,00341,栗田博憲,美浦,3,3,4,61,4,0,19,2,48,1,38,2,29,1,0.042,0.085,0.141,7613.7
145,01081,中川公成,美浦,3,2,5,66,3,0,9,0,64,3,28,1,45,2,0.039,0.066,0.132,5761.5
146,01159,高柳大輔,栗東,3,2,2,28,0,0,4,0,31,3,6,0,27,3,0.086,0.143,0.2,3355.0
147,01047,勢司和浩,美浦,3,1,7,53,1,0,11,0,52,3,28,1,36,2,0.047,0.062,0.172,4915.4
148,01143,和田雄二,美浦,3,0,5,82,2,0,24,1,64,2,45,2,40,1,0.033,0.033,0.089,6187.9
149,01040,服部利之,栗東,3,0,4,64,0,0,7,0,64,3,15,0,52,2,0.042,0.042,0.099,3030.0
150,01030,星野忍,美浦,3,0,2,49,3,1,5,0,46,2,13,1,36,2,0.056,0.056,0.093,6250.4
151,01162,田中博康,美浦,3,0,1,20,0,0,3,1,21,2,7,1,17,2,0.125,0.125,0.167,2635.7
152,00425,加用正,栗東,2,6,8,79,1,0,18,1,76,1,41,0,49,2,0.021,0.084,0.168,8617.7
153,01041,藤沢則雄,栗東,2,6,2,58,0,0,7,0,61,2,16,0,47,2,0.029,0.118,0.147,4932.8
154,01069,中尾秀正,栗東,2,5,5,65,1,0,18,0,58,2,30,1,44,1,0.026,0.091,0.156,4847.5
155,00435,藤原辰雄,美浦,2,5,1,47,1,0,7,0,47,2,4,0,46,2,0.036,0.127,0.145,3938.0
156,01029,根本康広,美浦,2,4,9,59,0,0,11,0,63,2,22,0,49,1,0.027,0.081,0.203,4934.9
157,01094,水野貴広,美浦,2,4,6,74,3,0,8,0,75,2,34,0,52,2,0.023,0.07,0.14,5023.2
158,01119,田中剛,美浦,2,4,4,58,0,0,10,1,58,1,37,1,30,1,0.029,0.088,0.147,4479.1
159,00349,尾形充弘,美浦,2,4,4,38,1,0,13,0,34,2,12,0,32,2,0.042,0.125,0.208,3743.3
160,01125,小野次郎,美浦,2,4,3,87,0,0,12,0,84,2,32,0,62,2,0.021,0.062,0.094,4647.2
161,01011,松田国英,栗東,2,3,7,53,2,0,25,2,38,0,24,1,41,1,0.031,0.077,0.185,9497.5
162,01051,岩戸孝樹,美浦,2,3,4,81,0,0,20,1,70,1,32,1,56,0,0.022,0.056,0.1,5710.3
163,01005,小桧山悟,美浦,2,3,1,84,2,0,13,0,75,2,28,0,58,2,0.022,0.056,0.067,3198.4
164,00428,石毛善彦,美浦,2,2,2,62,2,0,7,1,59,1,34,2,29,0,0.029,0.059,0.088,4028.7
165,01164,安田翔伍,栗東,2,2,2,21,1,0,5,0,21,2,5,1,22,1,0.074,0.148,0.222,2617.0
166,01131,蛯名利弘,美浦,2,2,1,78,0,0,7,0,76,2,27,0,54,1,0.024,0.048,0.06,2720.0
167,00409,二ノ宮敬宇,美浦,2,1,3,41,3,0,12,1,32,1,21,1,25,1,0.043,0.064,0.128,4832.1
168,01100,松山将樹,美浦,2,0,2,68,1,0,8,0,63,2,17,0,50,1,0.028,0.028,0.056,2405.0
169,01013,小島太,美浦,1,3,2,45,5,0,11,0,35,1,14,0,37,1,0.02,0.078,0.118,4923.5
170,00437,南田美知雄,美浦,1,3,2,61,0,0,13,0,54,1,16,0,51,1,0.015,0.06,0.09,2366.4
171,01091,羽月友彦,栗東,1,2,8,66,3,0,8,0,66,1,12,0,62,1,0.013,0.039,0.143,5511.1
172,00353,和田正道,美浦,1,2,5,58,5,0,10,0,51,1,27,0,33,1,0.015,0.045,0.121,4117.5
173,01043,石栗龍彦,美浦,1,2,2,62,1,0,12,1,54,0,24,0,43,1,0.015,0.045,0.075,3724.8
174,00365,崎山博樹,栗東,1,2,2,78,1,0,15,0,67,1,20,0,54,1,0.012,0.036,0.06,3123.0
175,01165,和田勇介,美浦,1,2,2,27,1,0,9,1,22,0,15,1,17,0,0.031,0.094,0.156,3097.6
176,00390,池上昌弘,美浦,1,1,4,35,0,0,11,0,30,1,12,1,27,0,0.024,0.049,0.146,2670.0
177,01063,的場均,美浦,1,0,3,72,1,0,6,1,69,0,29,1,44,0,0.013,0.013,0.053,2639.5
178,00379,加藤敬二,栗東,1,0,1,43,2,0,15,0,28,1,17,1,28,0,0.022,0.022,0.044,2260.6
179,00392,古賀史生,美浦,1,0,1,60,1,0,9,1,52,0,20,1,40,0,0.016,0.016,0.032,1953.1
180,01025,佐藤正雄,栗東,0,6,2,48,1,0,10,0,45,0,5,0,46,0,0.0,0.107,0.143,3624.9
181,01056,本間忍,美浦,0,4,0,57,2,0,7,0,52,0,27,0,34,0,0.0,0.066,0.066,1570.0
182,01093,松永康利,美浦,0,3,6,60,0,0,4,0,65,0,17,0,48,0,0.0,0.043,0.13,2745.2
183,00421,浅野洋一郎,美浦,0,3,3,43,0,0,2,0,47,0,16,0,30,0,0.0,0.061,0.122,1555.0
184,01161,武英智,栗東,0,3,2,26,1,0,7,0,23,0,18,0,12,0,0.0,0.097,0.161,2274.0
185,00397,岩元市三,栗東,0,3,2,38,1,0,12,0,30,0,14,0,28,0,0.0,0.07,0.116,2096.0
186,01009,田所秀孝,栗東,0,2,2,71,5,0,12,0,58,0,18,0,47,0,0.0,0.027,0.053,4178.0
187,00359,高橋祥泰,美浦,0,2,2,76,4,0,12,0,64,0,45,0,30,0,0.0,0.025,0.05,1636.0
188,01031,伊藤伸一,美浦,0,2,2,72,0,0,8,0,68,0,24,0,50,0,0.0,0.026,0.053,1532.0
189,00400,柴田光陽,栗東,0,2,1,30,0,0,1,0,32,0,5,0,25,0,0.0,0.061,0.091,1095.0
190,01036,高橋義博,美浦,0,2,0,40,3,0,1,0,38,0,17,0,23,0,0.0,0.048,0.048,550.0
191,00380,柄崎孝,美浦,0,1,6,40,0,0,21,0,26,0,22,0,23,0,0.0,0.021,0.149,3434.9
192,00402,谷原義明,美浦,0,1,1,51,0,0,9,0,44,0,30,0,23,0,0.0,0.019,0.038,1184.2
193,01007,柴田政人,美浦,0,1,1,48,0,0,8,0,42,0,14,0,33,0,0.0,0.02,0.04,1105.0
194,01163,林徹,美浦,0,1,1,16,0,0,2,0,16,0,11,0,7,0,0.0,0.056,0.111,981.2
195,00436,堀井雅広,美浦,0,0,3,79,3,0,12,0,67,0,35,0,45,0,0.0,0.0,0.037,2741.0
196,01006,作田誠二,栗東,0,0,1,65,0,0,7,0,59,0,25,0,37,0,0.0,0.0,0.015,852.0
197,01077,加藤和宏,美浦,0,0,1,61,5,0,4,0,53,0,23,0,34,0,0.0,0.0,0.016,820.0
198,00383,伊藤正徳,美浦,0,0,0,65,0,0,10,0,55,0,17,0,36,0,0.0,0.0,0.0,203.0
199,00370,二本柳俊一,美浦,0,0,0,21,0,0,1,0,20,0,6,0,15,0,0.0,0.0,0.0,50.0
