,id,name,hair,birth_date,race_result,debut_weight,sales_price,relatives
460,2015104894,キミワテンマ,鹿毛,2015/2/12,0-4-0-6,470.0,2592,リザーブカード、ガラディナー
461,2015104448,トーセンアイトーン,黒鹿毛,2015/2/13,1-1-0-1,440.0,,トワードポラリス、ノヴァホークの2017
462,2015101147,トーセンアンバー,鹿毛,2015/1/27,1-0-2-3,472.0,,ハノハノボーイ、ノーブルワルツ
463,2015105011,ウェルカムゴールド,栗毛,2015/5/4,1-1-0-0,512.0,,マチカネニホンバレ、ゲットクローサー
464,2015104968,ソシアルクラブ,栗毛,2015/1/26,1-0-0-3,470.0,,コロナシオン、タンタラス
465,2015105689,ニホンピロレスター,黒鹿毛,2015/4/24,1-1-1-4,492.0,,ニホンピロタルト、ニホンピロリッチ
466,2015100131,ロジヒューズ,鹿毛,2015/3/3,1-2-0-1,462.0,,ロジベーカ
467,2015102883,エイシンテースティ,栗毛,2015/2/13,0-3-1-4,462.0,,ロジキャロル、エイシントドロキ
468,2015104823,シーリア,青鹿毛,2015/3/17,1-1-1-1,456.0,,エピファネイア、リオンディーズ
469,2015100142,マコトモンジョワ,栗毛,2015/2/9,1-1-2-3,462.0,864,モンラッシェ、アウトレイジャス
470,2015101518,カレンガリアード,黒鹿毛,2015/3/14,1-1-1-3,466.0,,カレンジェニオ、カレンステイシー
471,2015104818,レッドシャーロット,鹿毛,2015/1/27,1-1-1-4,450.0,,パンツァネッラ、シルバーフォックスの2016
472,2015101597,ソングオブファイア,黒鹿毛,2015/2/22,1-2-0-3,470.0,,フルムーンソング、ドニゼッティ
473,2015110020,ホリデーモード,黒鹿毛,2015/4/2,1-2-0-2,490.0,,
474,2015104053,マッスルマサムネ,鹿毛,2015/2/8,1-1-1-4,482.0,,プントバンコの2017
475,2015102383,ロードダヴィンチ,鹿毛,2015/2/10,1-2-0-1,510.0,,デルフィーノ、ロードクルセイダー
476,2015104751,トーセンブレイヴ,黒鹿毛,2015/3/25,1-0-2-6,496.0,,ロンギングエース、スワーヴジョージ
477,2015104627,アストラサンタン,青鹿毛,2015/3/13,1-1-1-2,464.0,,リフトザウイングス、ダノンアンビシャス
478,2015105303,ランウェイデビュー,鹿毛,2015/2/13,2-2-0-2,478.0,,デビュースマルト、デビュートウショウの2016
479,2015106041,ウォーターループ,栗毛,2015/2/23,5-3-1-3,424.0,,ウォーターエイト、ウォーターディル
480,2015103021,ワタシヲマッテル,栗毛,2015/2/19,1-0-1-7,466.0,,オイカケマショウ、オマケ
481,2015103867,ウメタロウ,黒鹿毛,2015/3/7,1-2-0-7,484.0,,マンカストラップ、ヴァップの2016
482,2015105009,ケールダンセール,芦毛,2015/4/19,1-0-3-1,496.0,2376,ヴェルミオン、ビップキャッツアイ
483,2015105110,ジャックローズ,鹿毛,2015/4/11,1-1-1-1,496.0,,ローズウィスパー、ローズカスケイド
484,2015103049,メイショウダブル,黒鹿毛,2015/5/15,1-2-0-4,482.0,,ロラパルーザ、ラローザブル
485,2015103344,メイショウロセツ,黒鹿毛,2015/4/8,1-0-2-2,486.0,,ファンファーレ、エリモグラマー
486,2015103343,アイアムヒメ,栗毛,2015/2/27,1-1-1-3,460.0,,メイショウセイドウ、ウォータームージカの2016
487,2015105269,アップファーレン,栗毛,2015/2/10,1-1-1-5,486.0,,キンシノキセキ、ニシノケイト
488,2015105920,サムライブルー,黒鹿毛,2015/4/10,1-0-2-2,460.0,,スティールパスの2016、スティールパスの2017
489,2015103193,ペガッソ,黒鹿毛,2015/5/11,1-1-1-6,486.0,,パライバトルマリン、ニケダイヤモンド
490,2015110069,ペルペトゥオ,鹿毛,2015/2/16,1-1-1-0,472.0,,
491,2015101239,マリノディアナ,青鹿毛,2015/2/1,1-1-2-5,432.0,,クラウンミストラルの2017
492,2015103375,メイショウキタグニ,黒鹿毛,2015/5/22,1-1-2-4,458.0,,メイショウサワカゼ、メイショウドスコイ
493,2015102374,ロードゴラッソ,青毛,2015/5/16,1-2-0-1,470.0,,レディルージュ、ロードフォワード
494,2015103800,ソイカウボーイ,栗毛,2015/4/17,3-0-1-3,458.0,,エアースピーダー、シャイニングサヤカの2017
495,2015105740,スマートアルタイル,栗毛,2015/4/13,1-0-2-2,458.0,,スマートリンク、スマートアルティラの2017
496,2015102705,キタノシャガール,鹿毛,2015/4/3,5-1-1-4,490.0,410,ドンプリムローズ、リョウランヒーロー
497,2015104841,レッドイリーゼ,青鹿毛,2015/4/1,1-0-1-1,454.0,,レッドアンシェル、レッドジゼル
498,2015101879,テイエムオスカー,黒鹿毛,2015/5/5,1-0-2-6,470.0,,テイエムエース、テイエムハエンカゼ
499,2015106162,サトノプライド,栗毛,2015/5/16,1-0-1-0,530.0,4212,レーヌミノル、ダイワデッセー
500,2015102003,キタノユウキ,鹿毛,2015/6/20,1-0-1-5,498.0,,
501,2015105141,サンマルリトリート,黒鹿毛,2015/5/7,1-2-0-1,512.0,,マーシレス、ジョウノフィーバー
502,2015106226,クイーンズテソーロ,栗毛,2015/4/6,0-4-1-2,434.0,,タイセイプレシャス、サウンドカール
503,2015102984,ライクアジャーニー,鹿毛,2015/3/4,1-0-0-5,472.0,,カホピーチ、ディスモーメント
