,id,name,crop_count,crop_win_count,crop_grade_horse_count,crop_grade_win_count
518,2005110167,マルターズオリジン,5,5,0,0
519,2008101553,メイショウゴウヒメ,4,3,0,0
520,2009101312,エンジェルツイート,2,3,0,0
521,2010104569,スマッシュ,3,1,0,0
522,2010106282,ワイングラス,2,1,0,0
523,2001103230,イストワール,8,4,0,0
524,000a011cb7,ビジューミス,4,10,1,2
525,1996107132,ベルクラシック,12,24,0,0
526,000a011e14,アートプリンセス,5,4,0,0
527,2006105707,ヘイハニー,7,8,0,0
528,2008106449,フレアリングピュア,3,9,0,0
529,2007104546,トーセンガラシャ,3,3,0,0
530,2008106754,セーヌパリジャンヌ,5,2,0,0
531,2003102557,スマイリングルーラ,8,32,0,0
532,000a011de7,メダリアダムール,4,2,0,0
533,1999102768,レイズユアグラス,12,29,0,0
534,000a013687,Limonar,1,1,0,0
535,2007103123,ラフェクレール,5,4,0,0
536,2008110012,ゼマティス,5,5,0,0
537,2002105626,ナムラシゲコ,9,24,1,1
538,2010105455,コウエイレディー,3,3,0,0
539,000a0123dd,アポセカリー,4,1,0,0
540,000a01062c,オリジナルスピン,8,22,1,6
541,000a012fc1,ヴィアメディチ,3,1,0,0
542,2000105411,クラウンアスリート,10,12,1,1
543,2008104787,ヤマニンラレーヌ,4,2,0,0
544,2008100592,ハッピーメール,4,6,0,0
545,2006102920,レイナクーバ,5,10,0,0
546,2007110117,アポロジャスミン,5,11,0,0
547,2008102528,メジロクロユリ,3,2,0,0
548,000a0111ca,ショアー,9,14,0,0
549,2007103128,セレスティアル,4,1,0,0
550,2010103816,ラカ,2,1,0,0
551,2005105396,フィーユ,5,8,0,0
552,000a0127ee,ヴァインストリート,3,5,1,1
553,000a013a2e,Font,1,1,0,0
554,2002106979,クロウキャニオン,11,27,2,2
555,2009101019,モンクール,5,10,0,0
556,1997106538,エプソムアルテミス,11,31,0,0
557,2005105993,フレンチフレイバー,6,6,0,0
558,2007104279,ウインクリアビュー,3,1,0,0
559,000a0120ec,エレクトラレーン,3,3,0,0
560,2002100688,ウィストラム,8,14,0,0
561,000a012fb3,My Anguilla,1,1,0,0
562,2007109196,キョウエイトリガー,2,1,0,0
563,2006103163,ランズエッジ,6,10,0,0
564,2005101320,コウユーナナエヤエ,6,7,0,0
565,2006103244,ラビアンローズ,4,4,0,0
566,000a013986,Trulips,1,1,0,0
567,2002102339,ピュアドリーム,9,8,0,0
568,2001107654,チリエージェ,8,10,1,3
569,2006102020,ムーンライトソング,5,5,0,0
570,2007105559,ベネディーレ,6,4,0,0
571,2000109265,マストゥドウ,11,12,0,0
572,000a01179e,シーズインポッシブル,7,16,1,2
573,2006101071,サクラナスカ,4,2,0,0
574,2009100806,メイショウアレーナ,3,4,0,0
575,2005102710,プチノワール,7,4,1,2
576,2002100502,アップルティー,10,18,1,1
577,2009106559,ビジャリカ,4,2,0,0
578,2004102903,ワイメア,9,21,0,0
579,2005105147,ヤマノボンディール,5,7,0,0
580,000a011ffd,ラッシュラッシーズ,3,1,0,0
581,2003105424,フレアキャスケード,5,10,0,0
