,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
70,o_4keNhXTEFkM,福井明,3,0,1,14,6,1,5,1,7,1,11,2,7,1,0.167,0.167,0.222,6624.1
71,o_0ERFd3TEFke,市川義美ホールディングス,5,2,1,35,1,0,9,1,33,4,20,2,17,3,0.116,0.163,0.186,6612.9
72,o_0ERFVzTEF0d,さくらコマース,3,2,2,15,3,0,7,1,12,2,9,1,13,2,0.136,0.227,0.318,6547.8
73,o_4keZJzTEF0d,グリーンフィールズ,2,2,0,7,4,1,0,0,7,1,8,1,3,1,0.182,0.364,0.364,6408.1
74,o_0kaVlXTE10d,落合幸弘,2,3,5,13,4,0,1,0,18,2,14,1,9,1,0.087,0.217,0.435,6274.8
75,o_8EVZJTTEF0M,小林祥晃,3,5,5,34,1,0,10,1,36,2,11,0,36,3,0.064,0.17,0.277,6253.1
76,o_4ERZBTTE10d,田畑利彦,4,5,3,47,0,0,18,1,41,3,28,2,31,2,0.068,0.153,0.203,6157.4
77,o_0keRhXTEFUe,川島吉男,2,2,0,10,2,1,1,0,11,1,6,2,8,0,0.143,0.286,0.286,6138.7
78,o_0keNhXTEFUe,国本哲秀,1,7,5,69,5,0,18,0,59,1,42,0,36,1,0.012,0.098,0.159,6051.8
79,o_0keJdXTE10d,幅田京子,0,1,0,10,2,0,1,0,8,0,6,0,4,0,0.0,0.091,0.091,6010.6
80,o_8EVZJTTEFUe,深見富朗,4,2,4,22,1,0,9,2,22,2,13,4,18,0,0.125,0.188,0.312,5979.5
81,o_4keNNzTEF0d,亀田和弘,3,6,1,24,1,0,6,0,27,3,13,2,21,1,0.088,0.265,0.294,5763.0
82,o_4keVFTTE10d,吉木伸彦,3,1,2,22,1,0,8,2,19,1,17,2,11,1,0.107,0.143,0.214,5607.1
83,o_4kerJTTEFUe,大澤繁昌,2,2,2,23,5,0,8,1,16,1,8,1,21,1,0.069,0.138,0.207,5510.8
84,o_0EVZFTTE1ke,河合純二,2,1,4,18,1,0,11,1,13,1,11,1,14,1,0.08,0.12,0.28,5474.3
85,o_0keJVTTEFEM,土井肇,2,1,4,45,0,0,14,2,38,0,30,1,22,1,0.038,0.058,0.135,5419.8
86,o_0ERrh3TEFke,山紫水明,3,2,0,1,1,0,2,2,3,1,2,1,4,2,0.5,0.833,0.833,5391.3
87,o_0ERFVTTEFEM,加藤守,2,4,3,24,4,0,1,0,28,2,9,0,24,2,0.061,0.182,0.273,5367.2
88,o_4karFTTE1ke,永山勝敏,3,4,0,11,0,0,7,2,11,1,12,2,6,1,0.167,0.389,0.389,5321.8
89,o_0EVBl3TEF0d,ターフ・スポート,2,0,6,41,1,0,5,0,43,2,13,0,35,2,0.041,0.041,0.163,5321.0
90,o_8EVFhXTEFEN,松本好隆,3,6,1,30,0,0,5,0,35,3,1,0,35,2,0.075,0.225,0.25,5310.3
