,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
298,000a01053b,Azamour,3,0,6,0,2,0,1,0,3,0,4,0,2,0,0.0,1.09,0.0,0.0
299,000a010654,Forest Camp,3,1,7,1,0,0,1,0,6,1,1,0,6,1,0.333,1.09,0.0,1600.0
300,000a002161,Distant View,6,0,13,0,0,0,3,0,10,0,3,0,10,0,0.0,0.55,0.0,0.0
301,1995190004,タイガーヒル,1,0,2,0,1,0,1,0,0,0,2,0,0,0,0.0,3.25,0.0,0.0
302,1999109275,サニングデール,1,1,3,1,1,0,0,0,2,1,3,1,0,0,1.0,3.18,1400.0,0.0
303,000a0016d4,Storm Bird,4,1,11,1,0,0,1,0,10,1,3,0,8,1,0.25,0.79,0.0,1700.0
304,000a0109d3,Mizzen Mast,4,1,9,1,0,0,3,0,6,1,0,0,9,1,0.25,0.77,0.0,1200.0
305,1985109001,キャロルハウス,3,0,7,0,0,0,1,0,6,0,3,0,4,0,0.0,1.02,0.0,0.0
306,1987102798,ダイタクヘリオス,1,0,6,0,0,0,0,0,6,0,0,0,6,0,0.0,3.07,0.0,0.0
307,000a00227c,シルバーチャーム,6,1,11,1,0,0,0,0,11,1,3,0,7,1,0.167,0.5,0.0,1800.0
308,000a01025b,Stuka,3,0,7,0,0,0,2,0,5,0,3,0,4,0,0.0,1.0,0.0,0.0
309,000a011072,ディラントーマス,2,0,4,0,2,0,0,0,2,0,2,0,2,0,0.0,1.5,0.0,0.0
310,000a001ef3,Indian Ridge,3,1,8,1,0,0,0,0,8,1,0,0,8,1,0.333,1.0,0.0,1800.0
311,000a010a94,E Dubai,2,1,6,1,0,0,0,0,6,1,3,0,3,1,0.5,1.48,0.0,1200.0
312,000a001d7d,Zafonic,3,0,7,0,2,0,0,0,5,0,4,0,3,0,0.0,0.99,0.0,0.0
313,000a000258,ノーザンテースト,16,0,30,0,0,0,11,0,19,0,8,0,18,0,0.0,0.18,0.0,0.0
314,000a01173d,Bluegrass Cat,6,1,11,1,0,0,0,0,11,1,3,0,8,1,0.167,0.49,0.0,1400.0
315,000a0022d1,Dubai Millennium,5,0,6,0,2,0,0,0,4,0,4,0,2,0,0.0,0.59,0.0,0.0
316,000a001be0,Gold Alert,1,0,5,0,0,0,5,0,0,0,0,0,5,0,0.0,2.92,0.0,0.0
317,000a001c96,パレスミュージック,1,0,4,0,0,0,3,0,1,0,0,0,0,0,0.0,2.88,0.0,0.0
318,000a000d9e,ムタファーウエク,6,1,14,1,0,0,5,0,9,1,12,1,2,0,0.167,0.48,2200.0,0.0
319,1997105873,ダイタクリーヴァ,1,1,2,1,0,0,1,0,1,1,2,1,0,0,1.0,2.83,1200.0,0.0
320,000a000187,ハウスバスター,2,1,7,1,2,0,0,0,5,1,3,1,2,0,0.5,1.42,1400.0,0.0
321,000a00196b,Kaldoun,6,0,13,0,2,0,1,0,10,0,8,0,5,0,0.0,0.47,0.0,0.0
322,000a010a19,Medicean,2,1,3,1,0,0,1,0,2,1,3,1,0,0,0.5,1.39,1600.0,0.0
323,000a001fbc,Gilded Time,2,1,4,1,0,0,2,0,2,1,0,0,4,1,0.5,1.38,0.0,1200.0
324,000a000d6c,タイトスポット,2,0,3,0,0,0,0,0,3,0,1,0,0,0,0.0,1.38,0.0,0.0
325,000a00ff42,Vicar,4,0,9,0,0,0,1,0,8,0,1,0,8,0,0.0,0.69,0.0,0.0
326,000a010d4e,Oratorio,3,0,5,0,0,0,3,0,2,0,5,0,0,0,0.0,0.91,0.0,0.0
327,000a001d8b,Dayjur,3,1,7,1,0,0,0,0,7,1,0,0,7,1,0.333,0.9,0.0,1700.0
328,000a000287,ポリッシュネイビー,4,1,9,1,1,0,0,0,8,1,3,0,6,1,0.25,0.68,0.0,1400.0
